hs19	58856544	58864865	hs19	58859117	58866549
hs19	58859117	58866549	hs19	58865723	58874214
hs12	53701240	53718648	hs12	53693470	53700961
hs15	67493371	67547533	hs15	67835047	68099461
hs15	67835047	68099461	hs15	65871091	65903627
hs11	77532155	77629478	hs11	77882295	77899868
hs11	77532155	77629478	hs11	77811982	77850706
hs11	77532155	77629478	hs11	78147007	78285919
hs11	77532155	77629478	hs11	77589766	77705724
hs11	77532155	77629478	hs11	77779350	77791265
hs11	77532155	77629478	hs11	77225981	77348850
hs11	77532155	77629478	hs11	77371041	77532063
hs11	77882295	77899868	hs11	78147007	78285919
hs11	77882295	77899868	hs11	77371041	77532063
hs11	77882295	77899868	hs11	77779350	77791265
hs11	77882295	77899868	hs11	77899858	77925757
hs11	77811982	77850706	hs11	76155967	76264069
hs11	77811982	77850706	hs11	77926343	78129394
hs11	77811982	77850706	hs11	77899858	77925757
hs11	77811982	77850706	hs11	77371041	77532063
hs11	77811982	77850706	hs11	78147007	78285919
hs11	77811982	77850706	hs11	77225981	77348850
hs11	77811982	77850706	hs11	77882295	77899868
hs11	77811982	77850706	hs11	77589766	77705724
hs11	77811982	77850706	hs11	77779350	77791265
hs11	78147007	78285919	hs11	77899858	77925757
hs11	78147007	78285919	hs11	77371041	77532063
hs11	78147007	78285919	hs11	77779350	77791265
hs11	77589766	77705724	hs11	76061000	76092015
hs11	77589766	77705724	hs11	77899858	77925757
hs11	77589766	77705724	hs11	77882295	77899868
hs11	77589766	77705724	hs11	78147007	78285919
hs11	77589766	77705724	hs11	77779350	77791265
hs11	77589766	77705724	hs11	77371041	77532063
hs11	77779350	77791265	hs11	76061000	76092015
hs11	77779350	77791265	hs11	77899858	77925757
hs11	77779350	77791265	hs11	77371041	77532063
hs11	77225981	77348850	hs11	77032752	77185680
hs11	77225981	77348850	hs11	77899858	77925757
hs11	77225981	77348850	hs11	76061000	76092015
hs11	77225981	77348850	hs11	78147007	78285919
hs11	77225981	77348850	hs11	77882295	77899868
hs11	77225981	77348850	hs11	77779350	77791265
hs11	77225981	77348850	hs11	77589766	77705724
hs11	77225981	77348850	hs11	77371041	77532063
hs11	77371041	77532063	hs11	77899858	77925757
hs2	220036619	220042828	hs2	220040947	220050201
hs2	220036619	220042828	hs2	220143989	220151622
hs2	219128850	219134980	hs2	220036619	220042828
hs2	219128850	219134980	hs2	219314974	219433084
hs2	219128850	219134980	hs2	220040947	220050201
hs2	219314974	219433084	hs2	219502639	219524378
hs2	220040947	220050201	hs2	219528587	219537134
hs2	220040947	220050201	hs2	219433303	219461803
hs2	220040947	220050201	hs2	219314974	219433084
hs2	220040947	220050201	hs2	220110177	220115059
hs20	34824381	34858840	hs20	36661948	36720768
hs20	34824381	34858840	hs20	33590207	33680674
hs20	34824381	34858840	hs20	34359896	34538303
hs20	34824381	34858840	hs20	35234137	35240960
hs20	34824381	34858840	hs20	34213953	34252878
hs20	34824381	34858840	hs20	34894258	35157040
hs20	34824381	34858840	hs20	33866714	33872788
hs20	36661948	36720768	hs20	36611409	36661870
hs20	33866714	33872788	hs20	33284722	33413452
hs20	33866714	33872788	hs20	33890369	33999944
hs20	33866714	33872788	hs20	33590207	33680674
hs6	44355262	44418163	hs6	42531800	42661242
hs6	44355262	44418163	hs6	44094651	44123256
hs6	44355262	44418163	hs6	43274872	43337216
hs6	44355262	44418163	hs6	42847356	42857663
hs6	44355262	44418163	hs6	42989383	43001894
